company,job,location,money
深圳市德科信息技术有限公司,Python开发工程师,深圳-福田区,1-1.5万/月
深圳市光速度科技有限公司,python爬虫工程师,深圳-龙岗区,0.7-1万/月
苏州高博应诺信息科技有限公司,Python Web讲师,苏州,1.2-1.8万/月
汇正财经上海分公司,爬虫开发主管（Python语言）,上海,2.5-3万/月
深圳市佳创科技有限公司,初级python开发工程师,东莞-南城区,4.5-6千/月
奕诊（上海）医疗咨询有限公司,Python 开发,上海-徐汇区,2.5-3万/月
广州天鹏计算机科技有限公司,Python高级开发工程师,广州-天河区,0.8-1.3万/月
深圳飞豹航天航空科技有限公司,"后台开发工程师（Node, Python, Java, Go）",深圳,1-1.5万/月
湖南潭州教育网络科技有限公司,电话客服专员4k起（python）,成都-高新区,4.5-6千/月
上海职晓人才咨询服务有限公司,Python高级开发工程师,上海-静安区,1.5-2万/月
杭州泉恋广告传媒有限公司,Python爬虫工程师+储备培养 餐补,杭州-江干区,4.5-6千/月
绍兴俊睿云计算有限公司,Python研发工程师,绍兴,0.3-1万/月
北京彩云环太平洋科技有限公司,Python 工程师,北京-海淀区,1.2-1.5万/月
上海众言网络科技有限公司,Python资深开发,上海-徐汇区,1.2-2.4万/月
鼎合远传技术（北京）股份有限公司,Python 技术管理培训生,北京-朝阳区,0.6-1.2万/月
乐荐信息科技（北京）有限公司,Python工程师,上海-浦东新区,1.5-2万/月
上海有大信息科技有限公司,Python/R语言方向工程师,上海-浦东新区,1.5-2万/月
上海汇正财经,爬虫开发工程师（Python语言）,上海,1.5-3万/月
某本地知名IT企业,Python开发工程师,上海,1-1.5万/月
拓朴（北京）医疗技术有限公司,python研发工程师,北京-丰台区,2-3万/月
上交所技术有限责任公司,python开发工程师,上海-浦东新区,
深圳市爱致科技有限公司,python/lua开发,深圳-南山区,1-1.5万/月
上海葵典云软件有限公司,Python数据挖掘工程师,上海,1-1.5万/月
“前程无忧”51job.com（上海）,Python数据工程师,上海-静安区,
北京今朝勇创科技有限公司,Python开发工程师,武汉-江汉区,0.6-1万/月
广州时时美电子商务有限公司,python 开发工程师,广州-荔湾区,0.6-1.2万/月
飞思达技术（北京）有限公司,javascript/python软件工程师,太原,4.5-8千/月
上海博笃软件有限公司,高级软件工程师（Python开发）,上海,1-1.5万/月
学慧帮（上海）企业管理咨询有限公司,Python开发工程师,上海-徐汇区,1.5-2万/月
上海晏鼠计算机技术股份有限公司,Python web开发工程师,上海,0.8-1万/月
广州龙骐贸易有限公司,Python爬虫工程师,广州-白云区,0.8-1.5万/月
武汉千途创造软件开发有限公司,Java/Python 爬虫工程师（可助理）,武汉-武昌区,4.5-6千/月
青岛青软科技有限公司,Python/Ruby软件开发工程师,青岛-市南区,4-7千/月
上海崇杏健康管理咨询有限公司,Python开发工程师,上海,1-1.5万/月
成都迈思信息技术有限公司,Python开发工程师,成都,0.7-1.3万/月
上海寰享网络科技有限公司,Python开发工程师,上海-长宁区,1-1.5万/月
上海德必文化创意产业发展（集团）...,Python工程师,上海,1.5-2.5万/月
北京华云星地通科技有限公司,Python 开发工程师,北京-海淀区,1.5-2万/月
湖南潭州教育网络科技有限公司,Python,长沙,0.8-1.5万/月
上海智和信息技术有限公司,python开发工程师,上海-浦东新区,0.8-1万/月
中国电子科技集团公司第十五研究所...,python web 开发工程师,北京-海淀区,0.8-1万/月
北京经世万方信息技术有限公司,Python数据分析师,北京-朝阳区,10-15万/年
